term,value
@topic,Tools
@author,Kazbek Byasov
bolt,bolt
nail,nail
screwdriver,screwdriver
bradawl,bradawl
handsaw,handsaw
nut,nut
screw,screw
wrench,wrench
backsaw,backsaw
mallet,mallet
hammer,hammer
adjustable wrench,adjustable wrench
coping saw,coping saw
pipe wrench,pipe wrench
hacksaw,hacksaw
spirit level,spirit level
pocketknife,pocketknife
scissors,scissors
chainsaw,chainsaw
drill,drill
brace,brace
lineman’s pliers,lineman’s pliers
toolbox,toolbox
corkscrew,corkscrew
diagonal pliers,diagonal pliers
tape measure,tape measure
plunger,plunger
caulking gun,caulking gun
slip joint pliers,slip joint pliers
stepladder,stepladder
needle nose pliers,needle nose pliers
